,question,question_id,question_type,survey_id
55,"On the next screen, you'll be shown a chart and asked to answer a question about the data shown in the chart. Please review the chart carefully! Thanks for your participation.",1,description,5b9db82694cc6a000434eb15
56,"82 people were asked to rate their experience in receiving a refund from Amazon on a scale of 1 to 5, where 1=Extremely difficult, and 7=Extremely easy.&nbsp; In the next question, we will ask you to answer questions based on the chart below Take a moment to review the chart and answer the question above before continuing.",2,description,5b9db82694cc6a000434eb15
57,"According to the chart, what percentage of 55-64 year olds rated the refund process ""Extremely difficult"" ?",3,single-select,5b9db82694cc6a000434eb15
58,"According to the chart, what percentage of 65+ year olds rated the refund process ""Extremely Easy"" ?",4,single-select,5b9db82694cc6a000434eb15
59,"According to the chart, what percentage of 45-54 year olds rated the refund process ""Extremely difficult"" ?",5,single-select,5b9db82694cc6a000434eb15
60,"According to the chart, what percentage of 55-64 year olds rated the refund process ""Extremely difficult"" ?",6,single-select,5b9db82694cc6a000434eb15
61,How easy or difficult was it to find the answer to the previous questions in the chart?,7,rate,5b9db82694cc6a000434eb15
62,What are your sources of income?,0,multi-select,218
63,Which of the following pets are present in your household?,0,multi-select,219
64,You are now going to be shown two versions of a page we are working on. We are looking for feedback on the layout and design of the page.,0,description,133
65,"Before we begin, we'd like to know: Were you born on an even or odd-numbered day?",1,single-select,133
66,"Please click on the link below to see Version Light of the homepage we have prepared for you. Take a look at the page. As you're exploring, consider what you like about the page, what you dislike, and what you would change to make it better.",2,description,133
67,"Please click on the link below to see Version Dark of the homepage we have prepared for you.Take a look at the page. As you're exploring, consider what you like about the page, what you dislike, and what you would change to make it better.",3,description,133
68,What is your first impression of the page?,4,rate,133
69,How would you rate the page in terms of the following?,5,matrix-likert,133
70,What do you like about the page?,6,textarea,133
71,What do you dislike about the page?,7,textarea,133
72,"Now, please take a look at ANOTHER version of this site: Version Dark. Take a moment to browse through the page. Think about what you like and don't like about the page's design.",8,description,133
73,"Now, please take a look at ANOTHER version of this site: Version Light. Take a moment to browse through the page. Think about what you like and don't like about the page's design.",9,description,133
74,Which version do you prefer?,10,single-select,133
75,Why do you prefer that version?,11,textarea,133
76,"For your job, would you describe yourself a 'business executive'?",12,single-select,133
77,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! You are now going to see a mock-up (i.e. an example) of a mobile application that would allow you to explore your Explanation of Benefits (EOB) information. We are looking for feedback on the ease of navigating through the application -- Is it easy to find information? Is it cumbersome? Thanks in advance for your input. Your feedback is valuable to us. Please click next to continue the survey.",0,description,132
78,"Please click on the link below to open the mock-up in a separate tab of your browser. Imagine this is YOUR information in the mock-up. The following questions will all be in reference to the information in the mock-up, not your own personal information. Please keep the app open so you can reference it over the next six questions while we give you a few tasks to complete using the mock-up.",1,description,132
79,"What are the three most recent items you've spent money on? (Remember, use the mock-up to answer these questions)",2,textarea,132
80,What type of activity has used the most money?,3,textarea,132
81,Who has spent the least amount so far?,4,single-select,132
82,What spending items make up a total cost for an event?,5,textarea,132
83,How much will you pay out of pocket for this event?,6,single-select,132
84,How much will you pay for a Surgical Consult in Oct 15th?,7,single-select,132
85,Thanks for completing the tasks. Now we will ask you for your feedback on how easy or difficult it was to answer the questions using the app.,8,description,132
86,How easy or difficult was it to find the answers in the app?,9,rate,132
87,"Imagine this app displayed your EOB information instead.Using this app, what questions would you have about your benefits when you got a bill?",10,textarea,132
88,"How would you rate this way of viewing what you pay and what phase you're in, compared to the way you currently view this information?",11,single-select,132
89,"Thank you for participating in our survey today! We would like you to review the instructions in a new prototype. Please read the instructions in each section, and once you have finished, answer the survey questions about the instructions.",0,description,131
90,"Without looking at the prototype, what do you remember from the instructions?",2,textarea,131
91,"Based on the instructions, what part of the instructions seem the most important?",3,textarea,131
92,How easy was it to understand the instructions?,4,rate,131
93,How visually appealing do you think the instructions are?,5,rate,131
94,What information below is in the instructions? Please select all that apply.,6,multi-select,131
95,What information below is NOT in the instructions? Please select all that apply.,7,multi-select,131
96,Today we are interested in learning your preferences around an online banking login experience.Thanks in advance for your input!,0,description,130
97,Please click on the link below to see 6 versions of Login ID options you may use to access your financial accounts. You may need to scroll through the page to see and review all 6 options.,1,description,130
98,Spend a moment to review the 6 User ID options that can be used to log in to your online accounts.How likely would you be to use each of the following options as your login user ID?,2,matrix-likert,130
99,Which option would you choose as your preferred User ID option?,3,single-select,130
100,Now we'd like your feedback on some alternative Account Login options. Please click on the link below to see 7 versions of other Login options you may use to access your financial accounts. You may need to scroll through the page to see and review all 7 options.,4,description,130
101,Spend a moment to review the 7 alternative Account Login options that can be used to access your online accounts.How likely would you be to use any of the following options to log in to your account?,5,matrix-likert,130
102,Which option would you choose as your preferred method to access your account?,6,single-select,130
103,What country do you live in?,7,single-select,130
104,Are you a customer of CIBC?,8,single-select,130
105,What type of financial accounts do you have?,9,multi-select,130
106,How frequently do you access your online financial account(s)?,10,single-select,130
107,How do you typically access your online financial accounts?,11,single-select,130
108,"Today we would like your feedback on two sets of loading sequence versions that would appear for viewers after selecting a show to watch on a connected device. Each clip you will view is a PROTOTYPE, so expect it to have limited functionality. (Note that sound is available for each clip, but you are not required to enable your speakers.)Thank you in advance for your time and thoughts.",0,description,137
109,"Imagine you are presented with a loading sequence before every show you select to watch on an app.Please click on the link below to view loading sequence Version A (and be sure to hit play if the file doesn't load automatically in a new window). Think about what your initial feelings are throughout viewing the clip. When you are finished, you may continue by coming back to the survey for some follow-up questions.(We recommend keeping the page open in a SEPARATE tab so you can refer to it later on in the survey.)",1,description,137
110,How would you describe your reaction to the loading sequence you just viewed?,2,rate,137
111,What do you like/dislike about the loading sequence?,3,textarea,137
112,Did you find the loading sequence to be intrusive to your experience in waiting for the show to load?,4,rate,137
113,Take a minute to review loading sequence Version A again. What interested you most about the clip?,5,textarea,137
114,How would you suggest improving loading sequence Version A?,6,textarea,137
115,"Imagine you are presented with ANOTHER version of a loading sequence before every show you select to watch on an app. Please click on the link below to view loading sequence Version B (and be sure to hit play if the file doesn't load automatically in a new window). Think about what your initial feelings are throughout viewing the clip. When you are finished, you may continue by coming back to the survey for some follow-up questions.(We recommend keeping the page open in a SEPARATE tab so you can refer to it later on in the survey.)",7,description,137
116,How would you describe your reaction to the loading sequence you just viewed?,8,rate,137
117,What do you like/dislike about the loading sequence?,9,textarea,137
118,Did you find the loading sequence to be intrusive to your experience in waiting for the show to load?,10,rate,137
119,Take a minute to review loading sequence Version B again.What interested you most about the clip?,11,textarea,137
120,How would you suggest improving loading sequence Version B?,12,textarea,137
121,Which loading sequence version do you prefer?,13,single-select,137
122,Why did you choose the response you did to the previous question?,14,textarea,137
123,"In the final half of this survey, we would like your feedback on ANOTHER two sets of loading sequence versions that would appear for viewers after selecting a show to watch on a connected device.",15,description,137
124,"Imagine you are presented with a loading sequence before every show you select to watch on an app.Please click on the link below to view loading sequence Version C (and be sure to hit play if the file doesn't load automatically in a new window). Think about what your initial feelings are throughout viewing the clip. When you are finished, you may continue by coming back to the survey for some follow-up questions.(We recommend keeping the page open in a SEPARATE tab so you can refer to it later on in the survey.)",16,description,137
125,How would you describe your reaction to the loading sequence you just viewed?,17,rate,137
126,What do you like/dislike about the loading sequence?,18,textarea,137
127,Did you find the loading sequence to be intrusive to your experience in waiting for the show to load?,19,rate,137
128,Take a minute to review loading sequence Version C again.What interested you most about the clip?,20,textarea,137
129,How would you suggest improving loading sequence Version C?,21,textarea,137
130,"Now, imagine you are presented with ANOTHER version of a loading sequence before every show you select to watch on an app.Please click on the link below to view loading sequence Version D (and be sure to hit play if the file doesn't load automatically in a new window). Think about what your initial feelings are throughout viewing the clip. When you are finished, you may continue by coming back to the survey for some follow-up questions.(We recommend keeping the page open in a SEPARATE tab so you can refer to it later on in the survey.)",22,textarea,137
131,How would you describe your reaction to the loading sequence you just viewed?,23,rate,137
132,What do you like/dislike about the loading sequence?,24,textarea,137
133,Did you find the loading sequence to be intrusive to your experience in waiting for the show to load?,25,rate,137
134,Take a minute to review loading sequence Version D again.What interested you most about the clip?,26,textarea,137
135,How would you suggest improving loading sequence Version D?,27,textarea,137
136,Which loading sequence version do you prefer?,28,single-select,137
137,Why did you choose the response you did to the previous question?,29,textarea,137
138,Which set of loading sequence versions did you prefer?,30,single-select,137
139,"Imagine that you accessed this app on a regular basis, and therefore had to see a loading sequence for every show you selected to watch.If you had to think about your reaction towards each of the below main characteristics of the loading sequence versions, how would you describe them?",31,multi-select,137
140,"Imagine that you accessed this app on a regular basis, and therefore had to see a loading sequence for every show you selected to watch.If you had to think about your reaction towards each of the below main characteristics of the loading sequence versions you viewed, how would you describe them?",32,matrix-likert,137
141,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations! You are now going to be shown an example of a webpage we are working on. We are looking for feedback on the layout and design of the page (not the content). Simply click ""Next"" to begin. Thanks in advance for your input!",0,description,136
142,What is your first impression of the homepage you viewed?,2,rate,136
143,Imagine you were able to interact with this homepage. Where on the page would you be most likely to click first?,3,textarea,136
144,How would you rate the homepage in terms of the following?,4,matrix-likert,136
145,What do you LIKE about the homepage?,5,textarea,136
146,What do you DISLIKE about the homepage?,6,textarea,136
147,How would you describe this website to a family member or friend?,7,textarea,136
148,How well do you think you understand the purpose of this website?,8,rate,136
149,"Based on your previous answers, you have qualified for the next portion of this survey. Congratulations!Please click next to begin the survey.",0,description,135
150,"Imagine you navigate to the website of a service of which you are a customer (e.g. your insurance provider, your bank, your internet service, etc) looking for information.What words would you look for on the website to get support?",1,textarea,135
151,"Now we are interested in learning how you would go about getting information on a bank website. Imagine the website has the following four areas: - help- contact us- get help- supportOver the following survey questions, we will present a number of situations. We'd like to know which of the above areas you would go to, in order to address the situation.Thanks in advance for your input. Your feedback is valuable to us.",2,description,135
152,"If you visited a bank website because you lost your credit card, what option would you choose to find out what to do?",3,single-select,135
153,"If you wanted to find your branch transit number on a bank website, which option would you choose?",4,single-select,135
154,"If you went to a bank website to find out how to use your phone to deposit a check, which option would you choose?",5,single-select,135
155,"If you wanted to find Frequently Asked Questions on a bank website, which option would you choose?",6,single-select,135
156,"If you went to a bank website to find out how to talk to someone, which option would you choose?",7,single-select,135
157,If each of these options lead to the same information which label would you prefer?,8,single-select,135
158,What is your first impression of the homepage you viewed?,0,rate,134
159,Imagine you were able to interact with this homepage. Where on the page would you be most likely to click first?,1,textarea,134
160,How would you rate the homepage in terms of the following?,2,matrix-likert,134
161,What do you LIKE about the homepage?,3,textarea,134
162,What do you DISLIKE about the homepage?,4,textarea,134
163,How would you describe this website to a family member or friend?,5,textarea,134
164,How clear or unclear is the purpose of this website?,6,rate,134
165,Which country do you live in?,0,single-select,139
166,Do you work for (or are you yourself) any of the following types of medical specialists?,0,single-select,138
167,Which state do you live in? (Please choose Other if you don't see your state listed below.),0,single-select,166
168,"Now, we will be asking you about your daily prescribed medication. Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5bb38d073982210004d8b03c
169,How frequently do you forget to take your&nbsp;daily prescribed&nbsp;medication?,2,single-select,5bb38d073982210004d8b03c
170,Do you typically take your medication in the same location?&nbsp;,3,single-select,5bb38d073982210004d8b03c
171,Why?,4,textarea,5bb38d073982210004d8b03c
172,In which&nbsp;location do you typically take your&nbsp;medication?&nbsp;,5,single-select,5bb38d073982210004d8b03c
173,How interested would you say you are in taking ONLINE COURSES or watching ONLINE TUTORIALS?,0,single-select,24
174,Were you born on an even or odd-numbered day?,1,single-select,24
175,"Today we would like you to take a look at a COURSE PAGE from Udemy.com. Please click on the link below to see a prototype of the course page. (Note that this page has LIMITED functionality.) Take a few minutes to browse through the page and read the content. While you are reading, think about what you like and dislike about the information provided. Please keep the page open in a SEPARATE tab so that you can refer to it during the rest of the survey.",2,description,24
176,"Today we would like you to take a look at a COURSE PAGE from Udemy.com. Please click on the link below to see a prototype of the course page. (Note that this page has LIMITED functionality.) Take a few minutes to browse through the page and read the content. While you are reading, think about what you like and dislike about the information provided. Please keep the page open in a SEPARATE tab so that you can refer to it during the rest of the survey.",3,description,24
177,"How interested would you be in taking this course, given the information provided in the prototype?",4,rate,24
178,How valuable do you find the information provided regarding COURSE GOALS?,5,rate,24
179,Do you feel you have enough information about COURSE GOALS to understand what you will get from the course?,6,single-select,24
180,How valuable do you find the information provided regarding the TARGET AUDIENCE of the course?,7,rate,24
181,Do you feel you have enough information about the TARGET AUDIENCE to determine whether this course is right for you?,8,single-select,24
182,"Given the information about course goals and the target audience, how confident do you feel about making a decision on whether to take this course?",9,rate,24
183,"Today we would like your feedback on a webpage. The page you will view is a PROTOTYPE, so expect it to have limited functionality.",0,description,25
184,"Please click now on the link below. Take a few minutes to scroll and click through the page. When you are finished, you may move on to the next question.(We recommend keeping the page open in a SEPARATE tab so you can refer to it during the rest of the survey.)",1,description,25
185,Did you (or do you) notice the pop-up ?,2,single-select,25
186,How easy was it to find the pop-up?,3,rate,25
187,How would you rate the aesthetics of the pop-up?,4,rate,25
188,Did you find the pop-up INTRUSIVE to your experience viewing the webpage?,5,rate,25
189,What would you expect to happen after interacting with the pop-up?,6,textarea,25
190,How likely would you be to interact with the pop-up?,7,rate,25
191,How would you suggest improving the pop-up to make your experience on this webpage better?,8,textarea,25
192,"Today we would like your feedback on a webpage. The page you will view is a PROTOTYPE, so expect it to have limited functionality.",0,description,26
193,"Please click now on the link below. Take a few minutes to scroll and click through the page. When you are finished, you may move on to the next question.(We recommend keeping the page open in a SEPARATE tab so you can refer to it during the rest of the survey.)",1,description,26
194,Did you (or do you) notice the registration form?,2,single-select,26
195,How easy was it to find the registration form?,3,rate,26
196,How would you rate the aesthetics of the registration form?,4,rate,26
197,Did you find the registration form INTRUSIVE to your experience interacting with the webpage?,5,rate,26
198,What would you expect to happen after submitting your information in this registration form?,6,textarea,26
199,Which of the following would you expect to RECEIVE from this website after signing up through this registration form?,7,multi-select,26
200,How likely would you be to input your information in the registration form?,8,rate,26
201,What do you like and dislike about the registration form?,9,textarea,26
202,How would you suggest improving the registration form?,10,textarea,26
203,Imagine you are interested in receiving a newsletter or email updates from a website. Which pieces of information would you feel comfortable submitting to the website in a registration form?,11,multi-select,26
204,"Now we are interested in learning about how you keep up with news from different industries. Take a minute to think about where and how you get information from the technology, entertainment/media, communications and hospitality/leisure industries. We will ask you about these industries specifically. We appreciate your input!",0,description,27
205,Are you interested in or do you keep up with news from the TECHNOLOGY industry?,1,single-select,27
206,"What type of content do you like to read, watch or listen to for information on the TECHNOLOGY industry, and why?",2,textarea,27
207,"Which of the following types of online content do you like to read, watch or listen to for information on the TECHNOLOGY industry?",3,multi-select,27
208,Are you interested in or do you keep up with news about the ENTERTAINMENT & MEDIA industry?,4,single-select,27
209,"What type of content do you like to read, watch or listen to for information on to the ENTERTAINMENT & MEDIA industry, and why?",5,textarea,27
210,"Which of the following types of online content do you like to read, watch or listen to for information on the ENTERTAINMENT & MEDIA industry?",6,multi-select,27
211,Are you interested in or do you keep up with news about the COMMUNICATIONS industry?,7,single-select,27
212,"What type of content do you like to read, watch or listen to for information on the COMMUNICATIONS industry, and why?",8,textarea,27
213,"Which of the following types of online content do you like to read, watch or listen to for information on to the COMMUNICATIONS industry?",9,multi-select,27
214,How would you rate these statements about this system?,0,matrix-likert,20
215,Which of the following applies to you?,0,single-select,21
216,Which of the following applies to you?,1,single-select,21
217,How many active prescriptions do you currently have?,0,single-select,22
218,Which of the following job titles applies to you?,0,single-select,23
219,"We're interested in learning more about your thoughts on a new product. You will be presented with a link to a mock-up of the product, which you will need to reference throughout the survey. Click 'Next' to begin. We thank you in advance for your participation.",0,description,160
220,What is your initial impression of this product?,1,rate,160
221,In what scenarios can you see yourself using a product like this?,2,textarea,160
222,How useful or not useful do you find the following features of this product?,3,matrix-likert,160
223,How would you rate the following features?,4,matrix-likert,160
224,Which of the following features could be removed without negatively affecting your perception of the product?,5,multi-select,160
225,Did you find anything unclear or confusing about this product?,6,single-select,160
226,Please explain what you found to be unclear or confusing about this product.,7,textarea,160
227,"If the product were available today, how likely would you be to buy / use / download the product?",8,rate,160
228,How would you improve this product?,9,textarea,160
229,"Today we would like you to take a look at a webpage from PwC. Please click the link below to navigate to the site. Take a few minutes to browse through the site. While you are browsing, think about what you like and don't like about the page. When you are finished looking at the page, please click the arrow to move on to the next question.",0,description,28
230,How would you describe the purpose of this page?,1,textarea,28
231,"Based on this site, what SERVICES do you think this firm offers?",2,textarea,28
232,How likely would you be to visit a page like this?,3,rate,28
233,How often do you think you would visit a webpage like this?,4,single-select,28
234,How useful for you personally do you think this webpage is?,5,rate,28
235,Did you find anything confusing about this webpage?,6,single-select,28
236,What did you find confusing about this webpage?,7,textarea,28
237,How would you improve this webpage?,8,textarea,28
238,"Today we would like you to take a look at a webpage from PwC. Please click the link below to navigate to the site. Take a few minutes to browse through the site. While you are browsing, think about what you like and don't like about the page. When you are finished looking at the page, please click the arrow to move on to the next question.",0,description,29
239,"How would you rate this page in terms of Aesthetics? (the colors, images, fonts, etc.)",1,rate,29
240,How would you rate this page in terms of Usability? (how easy it looks to find what you need and get things done),2,rate,29
241,Where would you be most likely to CLICK FIRST on this webpage?,3,textarea,29
242,Take a minute to browse through the page again. What content interests you most?,4,textarea,29
243,Under which CATEGORY is this content that you found interesting presented on the page?,5,single-select,29
244,Please describe how you would go about contacting someone at PwC for more information. (Where would you navigate to or where would you click on this page?),6,textarea,29
245,"Please take a minute to locate the ""Contact Us"" link on the page. How easy/intuitive is it to find this link?",7,rate,29
246,What do you like about the page?,8,textarea,29
247,What do you dislike about the page?,9,textarea,29
248,How useful or not useful do you find the following features of this product?,0,matrix-likert,161
249,How would you rate the following features?,1,matrix-likert,161
250,Which of the following features could be removed without negatively affecting your perception of the product?,2,multi-select,161
251,"Now, we will be reviewing your experience with mental health support Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5b5fa1f52799730004b964bb
252,"Do you currently receive some form of mental health support? Note: Mental health support can take many forms - licensed professional, religious leader/chaplain, mentor, close friend, life or fitness coach, etc.",2,single-select,5b5fa1f52799730004b964bb
253,What mental health support resource(s) do you use currently?,3,multi-select,5b5fa1f52799730004b964bb
254,In what way(s) does mental health support resource(s) help you?,4,textarea,5b5fa1f52799730004b964bb
255,"What barriers, if any, have you encountered trying to find mental health support resource(s)?",5,textarea,5b5fa1f52799730004b964bb
256,Which of the following best describes your answer to the previous question about barriers?,6,single-select,5b5fa1f52799730004b964bb
257,Do you wish you had access to mental health support?,7,single-select,5b5fa1f52799730004b964bb
258,What benefits do you think you would receive if you had access to mental health support?,8,textarea,5b5fa1f52799730004b964bb
259,Have you ever purchased a similar product?,0,single-select,4
260,Which product did you purchase in the past?,1,textarea,4
261,How much did you pay for this product?,2,number,4
262,What problems or challenges were you facing that motivated you to purchase this product?,3,textarea,4
263,What benefits or advantages did this product have that motivated you to purchase it?,4,textarea,4
264,How did you feel about how much you paid for this product?,5,single-select,4
265,What has prevented you from purchasing a product like this?,6,textarea,4
266,What would motivate you to purchase a product like this?,7,textarea,4
267,How visually appealing do you think this page is?,0,rate,8
268,Do you currently suffer from any of the following conditions ?,0,multi-select,220
269,"With regards to your condition, how confident are you that you can ...",1,matrix-likert,220
270,"With regards to your condition, how confident are you that you can ...",2,matrix-likert,220
271,"Now, we will be discussing field names in a monthly transaction notice for a credit score product. Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5b58d839493e3e00047e5e71
272,What was your first reaction to this screen?,3,rate,5b58d839493e3e00047e5e71
273,"How clear or unclear is the meaning of the field name (""Telco"") seen on the screen?",4,rate,5b58d839493e3e00047e5e71
274,"How clear or unclear is the meaning of the field name (""Phone"") seen on the screen?",5,rate,5b58d839493e3e00047e5e71
275,How interested would you be in learning more about this product?,6,rate,5b58d839493e3e00047e5e71
276,"Now, take a few moments to review the monthly transaction screen below in its entirety. Once again, think about the field name in the red box and how it relates to its corresponding field. When you are finished, return here and click 'Next' to continue with the test. * This is a static image that is meant to represent this product. You may need to click once to zoom in. ** Important! Please keep the link open in the separate tab so that you can refer to it for the duration of the survey.",7,description,5b58d839493e3e00047e5e71
277,Thinking about the field name highlighted on this screen (the area in the red box)... Which name do you think would be the best fit for this field ?,8,single-select,5b58d839493e3e00047e5e71
278,Why did you make that selection? Please be specific.,9,textarea,5b58d839493e3e00047e5e71
279,Now we will be reviewing your experience with dining out. Be sure to answer each question honestly and to the best of your ability. Thanks!,1,description,5b58c1497f0bac000457ebbe
280,Do you ever take your grandchildren out to eat?,2,single-select,5b58c1497f0bac000457ebbe
281,Where do you take your grandchildren out to eat? Please describe any and all restaurants and be specific.,3,textarea,5b58c1497f0bac000457ebbe
282,How frequently do you take your grandchildren out to eat?,4,single-select,5b58c1497f0bac000457ebbe
283,Have you been diagnosed with any of the following illnesses/conditions?,0,multi-select,227
284,"Now, we will be reviewing your experience with caregiving. Be sure to answer each question honestly and to the best of your ability. Thanks!",1,description,5bb36da6aa35b10004846c97
285,"Please rate your level of agreement/disagreement with the following statement: ""I get a great sense of satisfaction in providing care for my loved one.""",2,rate,5bb36da6aa35b10004846c97
286,"Please rate your level of agreement/disagreement with the following statement: ""I feel like I am responsible for everything and that is a lot to take on.""",3,rate,5bb36da6aa35b10004846c97
287,"Please rate your level of agreement/disagreement with the following statement: ""I want to be able to say I did the best I could.""",4,rate,5bb36da6aa35b10004846c97
288,"Please rate your level of agreement/disagreement with the following statement: ""If the shoe were on the other foot, my loved one would do the same for me.""",5,rate,5bb36da6aa35b10004846c97
289,"Please rate your level of agreement/disagreement with the following statement: ""My loved one manipulates me/takes advantage of me.""",6,rate,5bb36da6aa35b10004846c97
290,"Please rate your level of agreement/disagreement with the following statement: ""Providing care drains you over time.""",7,rate,5bb36da6aa35b10004846c97
291,"Do you ever have to help your loved one do daily activities they used to be able to do for themselves such as getting them dressed, helping them&nbsp;bathe, dealing with incontinence or diapers, feed themselves, get them in and out of chairs or bed?",8,single-select,5bb36da6aa35b10004846c97
292,"Are you caring for a parent or grandparent? If you are caring for both, please select the one for whom you provide the most care.",9,single-select,5bb36da6aa35b10004846c97
293,"Below are some things we've heard other caregivers say about caregiving. Please read the statement below and rate how much you agree or disagree as it applies to your own caregiving situation. Caregiving is all about giving of myself, but work lets me get something in return, for a change.",10,rate,5bb36da6aa35b10004846c97
294,"Please rate how much you agree or disagree with the following statement - I have high emotional maturity and problem solving skills, that’s why I’m the caregiver in the family.",11,rate,5bb36da6aa35b10004846c97
295,Please rate how much you agree or disagree with the following statement - I spent so long being a “child” to my loved one that it is hard for both of us to see me as their adult caregiver.,12,rate,5bb36da6aa35b10004846c97
296,Please rate how much you agree or disagree with the following statement - Technology makes caregiving so much easier than it was for older generations.,13,rate,5bb36da6aa35b10004846c97
297,Please rate how much you agree or disagree with the following statement - I would rather that someone give me the caregiving information I need to figure things out on my own than have someone tell me what to do.,14,rate,5bb36da6aa35b10004846c97
